Year,Month,Imports,Exports
1972,Sep,1905,1879
1972,Oct,1897,1882
1972,Nov,1919,1759
1972,Dec,1980,1603
1973,Jan,1859,1571
1973,Feb,1916,1610
1973,Mar,1934,1764
1973,Apr,2109,1702
1973,May,2164,1903
1973,Jun,2382,2154
1973,Jul,2344,2188
1973,Aug,2485,2633
1973,Sep,2704,2658
1973,Oct,3003,2646
1973,Nov,3048,2590
1973,Dec,3057,2580
1974,Jan,2433,2471
1974,Feb,2553,2097
1974,Mar,3079,2509
1974,Apr,3155,2526
1974,May,3461,2887
1974,Jun,3157,2680
1974,Jul,3067,2691
1974,Aug,2965,2815
1974,Sep,2679,2579
1974,Oct,2453,2145
1974,Nov,2574,2377
1974,Dec,2542,2258
1975,Jan,2406,2150
1975,Feb,2154,1757
1975,Mar,2435,2179
1975,Apr,2513,2215
1975,May,2677,2291
1975,Jun,2635,2423
1975,Jul,2883,2670
1975,Aug,2856,2697
1975,Sep,3152,2947
1975,Oct,3225,2671
1975,Nov,3100,2911
1975,Dec,3438,2918
1976,Jan,3236,3312
1976,Feb,2983,2385
1976,Mar,3498,3258
1976,Apr,3469,3093
1976,May,3768,3443
1976,Jun,3652,3568
1976,Jul,3704,3744
1976,Aug,3509,3648
1976,Sep,3759,3862
1976,Oct,3947,3731
1976,Nov,3702,3609
1976,Dec,4066,3904
1977,Jan,3831,3530
1977,Feb,3378,2914
1977,Mar,3932,3090
1977,Apr,4129,3337
1977,May,4176,3780
1977,Jun,3992,3736
1977,Jul,4239,4211
1977,Aug,3759,4157
1977,Sep,3745,3807
1977,Oct,4277,3797
1977,Nov,4325,3924
1977,Dec,4916,4551
1978,Jan,4288,3603
1978,Feb,3910,2903
1978,Mar,4882,3847
1978,Apr,4968,4044
1978,May,5061,4536
1978,Jun,5105,4409
1978,Jul,5048,4502
1978,Aug,5239,5212
1978,Sep,5505,4936
1978,Oct,5605,5044
1978,Nov,6420,5180
1978,Dec,6809,5524
1979,Jan,5358,5128
1979,Feb,5602,3737
1979,Mar,6482,5373
